period,sales_quantity
2015-01-01,12729.0
2015-02-01,11636.0
2015-03-01,15922.0
2015-04-01,15227.0
2015-05-01,8620.0
2015-06-01,13160.0
2015-07-01,17254.0
2015-08-01,8642.0
2015-09-01,16144.0
2015-10-01,18135.0
2015-11-01,10841.0
2015-12-01,22113.0
2016-01-01,15365.0
2016-02-01,13153.0
2016-03-01,18339.0
2016-04-01,13909.0
2016-05-01,8553.0
2016-06-01,15101.0
2016-07-01,15695.0
2016-08-01,8314.0
2016-09-01,17764.0
2016-10-01,18969.0
2016-11-01,13433.0
2016-12-01,27029.0
2017-01-01,16889.0
2017-02-01,15864.0
2017-03-01,22786.0
2017-04-01,17910.0
2017-05-01,10777.0
2017-06-01,18799.0
2017-07-01,17899.0
2017-08-01,9649.0
2017-09-01,20159.0
2017-10-01,19519.0
2017-11-01,15360.0
2017-12-01,30833.0
2018-01-01,19812.0
2018-02-01,18424.0
2018-03-01,29004.0
2018-04-01,22033.0
2018-05-01,14959.0
2018-06-01,23067.0
2018-07-01,18397.0
2018-08-01,12045.0
2018-09-01,23358.0
2018-10-01,22644.0
2018-11-01,19765.0
2018-12-01,33207.0
2019-01-01,24096.0
2019-02-01,21624.0
2019-03-01,33379.0
2019-04-01,22265.0
2019-05-01,16967.0
2019-06-01,24958.0
2019-07-01,21917.0
2019-08-01,14431.0
2019-09-01,23253.0
2019-10-01,26603.0
2019-11-01,21987.0
2019-12-01,38069.0
2020-01-01,27184.0
2020-02-01,23509.0
2020-03-01,32569.0
2020-04-01,26615.0
2020-05-01,
2020-06-01,
2020-07-01,
2020-08-01,
2020-09-01,
2020-10-01,
2020-11-01,
2020-12-01,
2021-01-01,
2021-02-01,
2021-03-01,
2021-04-01,
2021-05-01,
2021-06-01,
2021-07-01,
2021-08-01,
2021-09-01,
2021-10-01,
2021-11-01,
2021-12-01,
2022-01-01,
2022-02-01,
2022-03-01,
2022-04-01,
2022-05-01,
2022-06-01,
2022-07-01,
2022-08-01,
2022-09-01,
2022-10-01,
2022-11-01,
2022-12-01,
