period,sales_quantity
2010-01-01,1055.5088478
2010-02-01,995.455453
2010-03-01,1212.2286859999997
2010-04-01,1202.3931270000005
2010-05-01,1175.3427130000002
2010-06-01,1122.9687089999993
2010-07-01,1161.6492717000006
2010-08-01,1152.0654244000002
2010-09-01,1122.8805009999996
2010-10-01,1154.1086329999998
2010-11-01,1182.398019
2010-12-01,1238.4445029999997
2011-01-01,1134.9463469999998
2011-02-01,1034.4704740000004
2011-03-01,1217.0197190000008
2011-04-01,1223.2788139999998
2011-05-01,1185.2067263000004
2011-06-01,1157.3398953000003
2011-07-01,1195.957712100001
2011-08-01,1214.7218513
2011-09-01,1208.3517382
2011-10-01,1186.8552284
2011-11-01,1206.5376936000002
2011-12-01,1245.987543900001
2012-01-01,1115.8575569000009
2012-02-01,990.5899356999998
2012-03-01,1181.4000926
2012-04-01,1139.4809100000002
2012-05-01,1146.6837560999995
2012-06-01,1103.0750692000006
2012-07-01,1165.8754573999993
2012-08-01,1131.5976936000002
2012-09-01,1063.6252268999997
2012-10-01,1110.9889585999997
2012-11-01,1178.706479
2012-12-01,1163.9461030999998
2013-01-01,1118.3565496
2013-02-01,991.2589918
2013-03-01,1152.1766924
2013-04-01,1198.4035732000004
2013-05-01,1207.6927409000004
2013-06-01,1101.2498416000003
2013-07-01,1175.4631148999997
2013-08-01,1181.4370642999995
2013-09-01,1099.8474928
2013-10-01,1183.2431746999996
2013-11-01,1157.1838461
2013-12-01,1183.6011787
2014-01-01,1109.8453143
2014-02-01,1013.9197978999993
2014-03-01,1106.5942596
2014-04-01,1268.4099388
2014-05-01,1131.7699604999996
2014-06-01,1163.0769986
2014-07-01,1226.1911303
2014-08-01,1063.3373935
2014-09-01,1141.5142414
2014-10-01,1176.5167580000002
2014-11-01,1143.2676188999997
2014-12-01,1172.2385321000004
2015-01-01,1106.2078892000002
2015-02-01,966.8862666
2015-03-01,1091.3837228999998
2015-04-01,1129.1746349000002
2015-05-01,1102.9544573000005
2015-06-01,1129.0097876999996
2015-07-01,1221.6158986
2015-08-01,1160.4864326999998
2015-09-01,1113.8662109000002
2015-10-01,1159.9130769
2015-11-01,1112.9624144000002
2015-12-01,1120.5625401
2016-01-01,1068.6055066
2016-02-01,1017.5113163
2016-03-01,1145.7581408
2016-04-01,1121.5623632
2016-05-01,1263.0509846999998
2016-06-01,1261.2648002
2016-07-01,1142.5661084999997
2016-08-01,1182.3124678999998
2016-09-01,1078.574574
2016-10-01,1085.3323425
2016-11-01,1133.6891975999995
2016-12-01,1174.6992657999997
2017-01-01,1055.3190360999995
2017-02-01,952.1887923000004
2017-03-01,1152.3410751
2017-04-01,1060.9292794999994
2017-05-01,1192.1565673
2017-06-01,1172.5814598999998
2017-07-01,1153.5935685
2017-08-01,1190.1796003
2017-09-01,1166.4276102
2017-10-01,1186.2856475
2017-11-01,1229.4799672
2017-12-01,1206.0704672999998
2018-01-01,1110.4679339000006
2018-02-01,988.1459364
2018-03-01,1218.1884632000003
2018-04-01,1157.231525
2018-05-01,1146.1327290000004
2018-06-01,1129.722712
2018-07-01,1141.9807169999997
2018-08-01,1197.860191
2018-09-01,1050.3615839999998
2018-10-01,1124.9747079999995
2018-11-01,1106.0834430000002
2018-12-01,1119.8059959999998
2019-01-01,1039.2140379999998
2019-02-01,1014.941329
2019-03-01,1131.907616
2019-04-01,1138.828548
2019-05-01,1145.368777
2019-06-01,1066.5573089999996
2019-07-01,1189.152423
2019-08-01,1175.179988
2019-09-01,1083.6716920000003
2019-10-01,1133.312879
2019-11-01,1142.6492220000005
2019-12-01,1135.428793
